PROJECT_ID	TYPE	STATUS	???	???	???	OBJECTIVE	START_DATE	END_DATE	SECTOR	SUB_SECTOR	???	???
BRA/98/004-S033	Cooperação Sul-Sul	Concluído	Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA || Universidade Estadual do Sudoeste da Bahia - UESB	Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.		25/07/2001	25/07/2002	 Agricultura	 Políticas Públicas	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA || Universidade Estadual do Sudoeste da Bahia - UESB	BRA/98/004-S033 - Implementacion de la actividad citricola en el municipio de Puerto LLeras, departamento del meta.
BRA/98/004-S022	Cooperação Sul-Sul	Concluído	Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.		01/09/2001	31/12/2003	 Agricultura	 Políticas Públicas	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	BRA/98/004-S022 - Transferências de Tecnologias de produção e de aproveitamento de subprodutos do cacau en São Tomé e Príncipe.
BRA/98/004-S028	Cooperação Sul-Sul	Concluído	Cooperación Amazónica para Construcción de Capacidades Locales	Núcleo de Ação para o Desenvolvimento Sustentável - POEMA	Cooperación Amazónica para Construcción de Capacidades Locales		01/10/2001	01/10/2003	 Meio Ambiente	 Recursos Naturais	Núcleo de Ação para o Desenvolvimento Sustentável - POEMA	BRA/98/004-S028 - Cooperación Amazónica para Construcción de Capacidades Locales
BRA/98/004-S025	Cooperação Sul-Sul	Concluído	Capacitação e Transferência de Tecnologia no Cultivo de Cacau para a Expansão do Cultivo de Cacau na Colômbia	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	Capacitação e Transferência de Tecnologia no Cultivo de Cacau para a Expansão do Cultivo de Cacau na Colômbia	 Expansión del area cacaoera de Colombia en 2.000 ha en los próximos 3 años, en los departamentos de Santander (1.000 ha), Norte de Santander (200 ha). Huila (300 ha) y Tolima (500 ha).	01/11/2001	20/12/2003	 Agricultura	 Políticas Públicas	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	BRA/98/004-S025 - Capacitação e Transferência de Tecnologia no Cultivo de Cacau para a Expansão do Cultivo de Cacau na Colômbia
BRA/98/004-S029	Cooperação Sul-Sul	Concluído	Manejo de Fauna Silvestre	Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA	Manejo de Fauna Silvestre		15/11/2001	18/11/2005	 Meio Ambiente	 Recursos Naturais	Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA	BRA/98/004-S029 - Manejo de Fauna Silvestre
BRA/98/004-S005	Cooperação Sul-Sul	Concluído	Transferência de Tecnologia para Apoyar la Competitividad Del Circuito Productivo Del Café em La Región de Los Yungas	Empresa de Pesquisa Agropecuária de Minas Gerais - EPAMIG || Universidade Federal de Viçosa (Brasil) - UFV	Transferência de Tecnologia para Apoyar la Competitividad Del Circuito Productivo Del Café em La Región de Los Yungas		15/11/2001	18/11/2005	 Agricultura	 Políticas Públicas	Empresa de Pesquisa Agropecuária de Minas Gerais - EPAMIG || Universidade Federal de Viçosa (Brasil) - UFV	BRA/98/004-S005 - Transferência de Tecnologia para Apoyar la Competitividad Del Circuito Productivo Del Café em La Región de Los Yungas
BRA/98/004-S010	Cooperação Sul-Sul	Concluído	Sistema de Alerta y Monitoreo de Incêndios Forestales.	Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA || Instituto Nacional de Pesquisas Espaciais - INPE	Sistema de Alerta y Monitoreo de Incêndios Forestales.		15/11/2001	15/06/2003	 Meio Ambiente	 Preservação dos Ecossistemas	Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA || Instituto Nacional de Pesquisas Espaciais - INPE	BRA/98/004-S010 - Sistema de Alerta y Monitoreo de Incêndios Forestales.
BRA/98/004-S008	Cooperação Sul-Sul	Concluído	Capacitación y Transferencia de Tecnologia en el Cultivo del Palmito(Bactris Gasipaes)en Chapare-Bolivia.	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	Capacitación y Transferencia de Tecnologia en el Cultivo del Palmito(Bactris Gasipaes)en Chapare-Bolivia.		01/01/2002	21/12/2003	 Agricultura	 Políticas Públicas	Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC	BRA/98/004-S008 - Capacitación y Transferencia de Tecnologia en el Cultivo del Palmito(Bactris Gasipaes)en Chapare-Bolivia.
BRA/98/004-S011	Cooperação Sul-Sul	Concluído	Gestion Integrada de Recursos Hidricos em La Cuenca Alta Del Rio Paraguay	Agência Nacional de Águas - ANA - ANA	Gestion Integrada de Recursos Hidricos em La Cuenca Alta Del Rio Paraguay		01/01/2002	30/12/2002	 Meio Ambiente	 Recursos Hídricos	Agência Nacional de Águas - ANA - ANA	BRA/98/004-S011 - Gestion Integrada de Recursos Hidricos em La Cuenca Alta Del Rio Paraguay
BRA/98/004-S006	Cooperação Sul-Sul	Concluído	Capacitacion Y transferencia de Tecnologia em del Cultivo y Processamiento de Frutas Tropicales em Chapare Y Yungas de La Paz -Bolívia.	Empresa Brasileira de Pesquisa Agropecuária -Embrapa Alimentos - Embrapa || Universidade Estadual do Sudoeste da Bahia - UESB	Capacitacion Y transferencia de Tecnologia em del Cultivo y Processamiento de Frutas Tropicales em Chapare Y Yungas de La Paz -Bolívia.		01/01/2002	01/12/2003	 Agricultura	 Políticas Públicas	Empresa Brasileira de Pesquisa Agropecuária -Embrapa Alimentos - Embrapa || Universidade Estadual do Sudoeste da Bahia - UESB	BRA/98/004-S006 - Capacitacion Y transferencia de Tecnologia em del Cultivo y Processamiento de Frutas Tropicales em Chapare Y Yungas de La Paz -Bolívia.
