jornal	pagina	data	url	pdf_name	txt_name
3	80	2000-10-17	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=80&data=17/10/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=80&data=17%2F10%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=80&data=17%2F10%2F2000&captchafield=firistAccess.txt
3	88	2000-12-22	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=88&data=22/12/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=88&data=22%2F12%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=88&data=22%2F12%2F2000&captchafield=firistAccess.txt
1	218	2000-01-10	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=218&data=10/01/2000&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=218&data=10%2F01%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=218&data=10%2F01%2F2000&captchafield=firistAccess.txt
1	56	2000-04-26	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=56&data=26/04/2000&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=56&data=26%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=56&data=26%2F04%2F2000&captchafield=firistAccess.txt
1	58	2000-04-26	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=58&data=26/04/2000&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=58&data=26%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=58&data=26%2F04%2F2000&captchafield=firistAccess.txt
2	21	2000-04-07	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=21&data=07/04/2000&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=21&data=07%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=21&data=07%2F04%2F2000&captchafield=firistAccess.txt
3	41	2000-02-07	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=41&data=07/02/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=41&data=07%2F02%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=41&data=07%2F02%2F2000&captchafield=firistAccess.txt
3	48	2000-05-17	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=48&data=17/05/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=48&data=17%2F05%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=48&data=17%2F05%2F2000&captchafield=firistAccess.txt
3	58	2000-04-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=58&data=20/04/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=58&data=20%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=58&data=20%2F04%2F2000&captchafield=firistAccess.txt
3	61	2000-04-05	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=61&data=05/04/2000&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=61&data=05%2F04%2F2000&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=61&data=05%2F04%2F2000&captchafield=firistAccess.txt
